ccn,old_cbsa,alt_cbsa1,alt_cbsa2,curr_cbsa
"070015","35644","20524","35614",""
"140012","16974","20994","","16974"
"140110","16974","20994","","16974"
"140155","16974","20994","","16974"
"140161","16974","20994","","16974"
"140186","16974","20994","","16974"
"150002","16974","20994","","16974"
"150004","16974","20994","","16974"
"150008","16974","20994","","16974"
"150034","16974","20994","","16974"
"150090","16974","20994","","16974"
"150125","16974","20994","","16974"
"150126","16974","20994","","16974"
"150165","16974","20994","","16974"
"150166","16974","20994","","16974"
"180012","31140","21060","","31140"
"180024","31140","21060","","31140"
"180048","31140","21060","","31140"
"310002","35644","20524","35614",""
"310009","35644","20524","35614",""
"310014","37964","33874","","37964"
"310015","35644","20524","35614",""
"310017","35644","20524","35614",""
"310031","20764","35084","35614",""
"310038","35644","20524","35614",""
"310039","35644","20524","35614",""
"310050","35644","20524","35614",""
"310054","35644","20524","35614",""
"310070","35644","20524","35614",""
"310076","35644","20524","35614",""
"310083","35644","20524","35614",""
"310096","35644","20524","35614",""
"310108","35644","20524","35614",""
"310119","35644","20524","35614",""
"330023","35644","20524","35614",""
"330049","35644","20524","35614",""
"330067","35644","20524","35614",""
"330126","35644","20524","35614",""
"330135","35644","20524","35614",""
"330205","35644","20524","35614",""
"330224","39100","20524","35614",""
"330264","35644","20524","35614",""
"340042","48900","34820","","48900"
"340068","48900","34820","","48900"
"420085","48900","34820","","48900"
"510062","16620","26580","","16620"
"510070","16620","26580","","16620"
