ccn,full_address
"070015","21 ELM ST, NEW MILFORD, CT 06776"
"140012","403 E 1ST ST, DIXON, IL 61021"
"140110","1100 EAST NORRIS DRIVE, OTTAWA, IL 61350"
"140155","500 W COURT ST, KANKAKEE, IL 60901"
"140161","2500 WEST REYNOLDS STREET, PONTIAC, IL 61764"
"140186","350 N WALL ST, KANKAKEE, IL 60901"
"150002","600 GRANT ST, GARY, IN 46402"
"150004","5454 HOHMAN AVE, HAMMOND, IN 46320"
"150008","4321 FIR ST, EAST CHICAGO, IN 46312"
"150034","1500 S LAKE PARK AVE, HOBART, IN 46342"
"150090","24 JOLIET ST, DYER, IN 46311"
"150125","901 MACARTHUR BLVD, MUNSTER, IN 46321"
"150126","1201 S MAIN ST, CROWN POINT, IN 46307"
"150165","701 SUPERIOR AVE, MUNSTER, IN 46321"
"150166","9301 CONNECTICUT DR, CROWN POINT, IN 46307"
"180012","913 NORTH DIXIE AVENUE, ELIZABETHTOWN, KY 42701"
"180024","320 LORETTO ROAD, LEBANON, KY 40033"
"180048","217 SOUTH THIRD STREET, DANVILLE, KY 40422"
"310002","201 LYONS AVE, NEWARK, NJ 07112"
"310009","ONE CLARA MAAS DRIVE, BELLEVILLE, NJ 07109"
"310014","1 COOPER PLAZA, CAMDEN, NJ 08103"
"310015","100 MADISON AVE, MORRISTOWN, NJ 07962"
"310017","97 WEST PARKWAY, POMPTON PLAINS, NJ 07444"
"310031","200 TRENTON ROAD, BROWNS MILLS, NJ 08015"
"310038","ONE ROBERT WOOD JOHNSON PL, NEW BRUNSWICK, NJ 08901"
"310039","530 NEW BRUNSWICK AVE, PERTH AMBOY, NJ 08861"
"310050","25 POCONO ROAD, DENVILLE, NJ 07834"
"310054","BAY AND HIGHLAND AVE, MONTCLAIR, NJ 07042"
"310070","254 EASTON AVE, NEW BRUNSWICK, NJ 08901"
"310076","94 OLD SHORT HILLS ROAD, LIVINGSTON, NJ 07039"
"310083","300 CENTRAL AVE, EAST ORANGE, NJ 07018"
"310096","111 CENTRAL AVENUE, NEWARK, NJ 07102"
"310108","65 JAMES STREET, EDISON, NJ 08818"
"310119","150 BERGEN ST, NEWARK, NJ 07103"
"330023","45 READE PLACE, POUGHKEEPSIE, NY 12601"
"330049","6511 SPRINGBROOK AVENUE, RHINEBECK, NY 12572"
"330067","241 NORTH ROAD, POUGHKEEPSIE, NY 12601"
"330126","707 EAST MAIN STREET, MIDDLETOWN, NY 10940"
"330135","160 EAST MAIN STREET, PORT JERVIS, NY 12771"
"330205","15 - 19  MAPLE AVENUE, WARWICK, NY 10990"
"330224","105 MARY'S AVENUE, KINGSTON, NY 12401"
"330264","70 DUBOIS STREET, NEWBURGH, NY 12550"
"340042","317 WESTERN BOULEVARD, JACKSONVILLE, NC 28540"
"340068","500 JEFFERSON ST, WHITEVILLE, NC 28472"
"420085","809 82ND PARKWAY, MYRTLE BEACH, SC 29572"
"510062","306 STANAFORD ROAD, BECKLEY, WV 25801"
"510070","1710 HARPER ROAD, BECKLEY, WV 25801"
