ccn,fips,old_cbsa,full_address,comparison_county_fips1,comparison_county_fips2,comparison_county_fips3,comparison_county_fips4,comparison_county_fips5,comparison_county_fips6,comparison_county_fips7,comparison_county_fips8,comparison_county_fips9,comparison_county_fips10,comparison_county_fips11,comparison_county_fips12,comparison_county_fips13,comparison_county_cbsa_change1,comparison_county_cbsa_change2,comparison_county_cbsa_change3,comparison_county_cbsa_change4,comparison_county_cbsa_change5,comparison_county_cbsa_change6,comparison_county_cbsa_change7,comparison_county_cbsa_change8,comparison_county_cbsa_change9,comparison_county_cbsa_change10,comparison_county_cbsa_change11,comparison_county_cbsa_change12,comparison_county_cbsa_change13,adjacent1,adjacent2,adjacent3,adjacent4,adjacent5,adjacent6,adjacent7,adjacent8,adjacent9,adjacent10,adjacent11,adjacent12,adjacent13
"070015","09005","35644","21 ELM ST, NEW MILFORD, CT 06776","34003","34017","34031","36005","36047","36061","36079","36081","36085","36087","36119","","","35614","35614","35614","35614","35614","35614","20524","35614","35614","35614","35614","","",0,0,0,0,0,0,0,0,0,0,0,,
"140012","17103","16974","403 E 1ST ST, DIXON, IL 61021","17031","17037","17043","17063","17089","17093","17111","17197","","","","","","same","20994","same","same","20994","same","same","same","","","","","",0,1,0,0,0,0,0,0,,,,,
"140110","17099","16974","1100 EAST NORRIS DRIVE, OTTAWA, IL 61350","17031","17037","17043","17063","17089","17093","17111","17197","","","","","","same","20994","same","same","20994","same","same","same","","","","","",0,1,0,1,0,1,0,0,,,,,
"140155","17091","16974","500 W COURT ST, KANKAKEE, IL 60901","17031","17037","17043","17063","17089","17093","17111","17197","","","","","","same","20994","same","same","20994","same","same","same","","","","","",0,0,0,1,0,0,0,1,,,,,
"140161","17105","16974","2500 WEST REYNOLDS STREET, PONTIAC, IL 61764","17031","17037","17043","17063","17089","17093","17111","17197","","","","","","same","20994","same","same","20994","same","same","same","","","","","",0,0,0,1,0,0,0,0,,,,,
"140186","17091","16974","350 N WALL ST, KANKAKEE, IL 60901","17031","17037","17043","17063","17089","17093","17111","17197","","","","","","same","20994","same","same","20994","same","same","same","","","","","",0,0,0,1,0,0,0,1,,,,,
"150002","18089","16974","600 GRANT ST, GARY, IN 46402","17031","17037","17043","17063","17089","17093","17111","17197","","","","","","same","20994","same","same","20994","same","same","same","","","","","",1,0,0,0,0,0,0,1,,,,,
"150004","18089","16974","5454 HOHMAN AVE, HAMMOND, IN 46320","17031","17037","17043","17063","17089","17093","17111","17197","","","","","","same","20994","same","same","20994","same","same","same","","","","","",1,0,0,0,0,0,0,1,,,,,
"150008","18089","16974","4321 FIR ST, EAST CHICAGO, IN 46312","17031","17037","17043","17063","17089","17093","17111","17197","","","","","","same","20994","same","same","20994","same","same","same","","","","","",1,0,0,0,0,0,0,1,,,,,
"150034","18089","16974","1500 S LAKE PARK AVE, HOBART, IN 46342","17031","17037","17043","17063","17089","17093","17111","17197","","","","","","same","20994","same","same","20994","same","same","same","","","","","",1,0,0,0,0,0,0,1,,,,,
"150090","18089","16974","24 JOLIET ST, DYER, IN 46311","17031","17037","17043","17063","17089","17093","17111","17197","","","","","","same","20994","same","same","20994","same","same","same","","","","","",1,0,0,0,0,0,0,1,,,,,
"150125","18089","16974","901 MACARTHUR BLVD, MUNSTER, IN 46321","17031","17037","17043","17063","17089","17093","17111","17197","","","","","","same","20994","same","same","20994","same","same","same","","","","","",1,0,0,0,0,0,0,1,,,,,
"150126","18089","16974","1201 S MAIN ST, CROWN POINT, IN 46307","17031","17037","17043","17063","17089","17093","17111","17197","","","","","","same","20994","same","same","20994","same","same","same","","","","","",1,0,0,0,0,0,0,1,,,,,
"150165","18089","16974","701 SUPERIOR AVE, MUNSTER, IN 46321","17031","17037","17043","17063","17089","17093","17111","17197","","","","","","same","20994","same","same","20994","same","same","same","","","","","",1,0,0,0,0,0,0,1,,,,,
"150166","18089","16974","9301 CONNECTICUT DR, CROWN POINT, IN 46307","17031","17037","17043","17063","17089","17093","17111","17197","","","","","","same","20994","same","same","20994","same","same","same","","","","","",1,0,0,0,0,0,0,1,,,,,
"180012","21093","31140","913 NORTH DIXIE AVENUE, ELIZABETHTOWN, KY 42701","18019","18043","18061","18175","21029","21103","21111","21163","21179","21185","21211","21215","21223","same","same","same","same","same","same","same","21060","same","same","same","same","same",0,0,1,0,1,0,1,1,1,0,0,0,0
