ccn,facility_name,old_cbsa,old_cbsa_name,old_cbsa_state,index
"140012","Katherine Shaw Bethea Hospital","16974","Chicago-Joliet-Naperville, IL","IL",1
"140110","Ottawa Regional Hospital & Healthcare Center","16974","Chicago-Joliet-Naperville, IL","IL",2
"140155","Presence St Marys Hospital","16974","Chicago-Joliet-Naperville, IL","IL",3
"140161","Saint James Hospital","16974","Chicago-Joliet-Naperville, IL","IL",4
"140186","Riverside Medical Center","16974","Chicago-Joliet-Naperville, IL","IL",5
"150002","Methodist Hospitals Inc","16974","Chicago-Joliet-Naperville, IL","IL",6
"150004","Franciscan St Margaret Health - Hammond","16974","Chicago-Joliet-Naperville, IL","IL",7
"150008","St Catherine Hospital Inc","16974","Chicago-Joliet-Naperville, IL","IL",8
"150034","St Mary Medical Center Inc","16974","Chicago-Joliet-Naperville, IL","IL",9
"150090","Franciscan St Margaret Health - Dyer","16974","Chicago-Joliet-Naperville, IL","IL",10
"150125","Community Hospital","16974","Chicago-Joliet-Naperville, IL","IL",11
"150126","Franciscan St Anthony Health - Crown Point","16974","Chicago-Joliet-Naperville, IL","IL",12
"150165","Franciscan Healthcare - Munster","16974","Chicago-Joliet-Naperville, IL","IL",13
"150166","Pinnacle Hospital","16974","Chicago-Joliet-Naperville, IL","IL",14
"180012","Hardin Memorial Hospital","31140","Louisville/Jefferson County, KY-IN","IN",1
"180024","Spring View Hospital","31140","Louisville/Jefferson County, KY-IN","IN",2
"180048","Ephraim Mcdowell Regional Medical Center","31140","Louisville/Jefferson County, KY-IN","IN",3
"340042","Onslow Memorial Hospital","48900","Wilmington, NC","NC",1
"340068","Columbus Regional Healthcare System","48900","Wilmington, NC","NC",2
"420085","Grand Strand Regional Medical Center","48900","Wilmington, NC","NC",3
"310031","Deborah Heart And Lung Center","20764","Edison-New Brunswick, NJ","NJ",1
"070015","New Milford Hospital","35644","New York-White Plains-Wayne, NY-NJ","NJ",1
"310002","Newark Beth Israel Medical Center","35644","New York-White Plains-Wayne, NY-NJ","NJ",2
"310009","Clara Maass Medical Center","35644","New York-White Plains-Wayne, NY-NJ","NJ",3
"310015","Morristown Medical Center","35644","New York-White Plains-Wayne, NY-NJ","NJ",4
"310017","Chilton Medical Center","35644","New York-White Plains-Wayne, NY-NJ","NJ",5
"310038","Robert Wood Johnson University Hospital","35644","New York-White Plains-Wayne, NY-NJ","NJ",6
"310039","Raritan Bay Medical Center","35644","New York-White Plains-Wayne, NY-NJ","NJ",7
"310050","Saint Clare'S Hospital","35644","New York-White Plains-Wayne, NY-NJ","NJ",8
"310054","Hackensack-Umc Mountainside","35644","New York-White Plains-Wayne, NY-NJ","NJ",9
"310070","Saint Peter'S University Hospital","35644","New York-White Plains-Wayne, NY-NJ","NJ",10
"310076","Saint Barnabas Medical Center","35644","New York-White Plains-Wayne, NY-NJ","NJ",11
"310083","East Orange General Hospital","35644","New York-White Plains-Wayne, NY-NJ","NJ",12
"310096","Saint Michael'S Medical Center, Inc","35644","New York-White Plains-Wayne, NY-NJ","NJ",13
"310108","Jfk Medical Ctr - Anthony M. Yelencsics Community","35644","New York-White Plains-Wayne, NY-NJ","NJ",14
"310119","University Hospital","35644","New York-White Plains-Wayne, NY-NJ","NJ",15
"330023","Vassar Brothers Medical Center","35644","New York-White Plains-Wayne, NY-NJ","NJ",16
"330049","Northern Dutchess Hospital","35644","New York-White Plains-Wayne, NY-NJ","NJ",17
"330067","St Francis Hospital","35644","New York-White Plains-Wayne, NY-NJ","NJ",18
"330126","Orange Regional Medical Center","35644","New York-White Plains-Wayne, NY-NJ","NJ",19
"330135","Bon Secours Community Hospital","35644","New York-White Plains-Wayne, NY-NJ","NJ",20
"330205","St Anthony Community Hospital","35644","New York-White Plains-Wayne, NY-NJ","NJ",21
"330264","St Luke'S Cornwall Hospital","35644","New York-White Plains-Wayne, NY-NJ","NJ",22
"330224","Health Alliance Hospital Mary'S Avenue Campus","39100","Poughkeepsie-Newburgh-Middletown, NY","NY",1
"310014","Cooper University Hospital","37964","Philadelphia, PA","PA",1
"510062","Beckley Arh Hospital","16620","Charleston, WV","WV",1
"510070","Raleigh General Hospital","16620","Charleston, WV","WV",2
